**Sh#** | **Sh** | **Time** | **In** | **Scene** | **Description** | **Title** | **Time** | **In** | **Time** | **Out** | **Dur** | **Titles**
85 | 01:04:08:17 |  |  | IMAGE | - JACK SMILES AT | 66 | 01:04:08:22 |  | 01:04:11:19 |  | 02:21 | Despite Jack's relentless
 |  |  |  | MADELEINE |  |  |  |  |  |  |  | quest to be number one,
 |  |  |  | Despite | Jack's relentless |  |  |  |  |  |  | 
 |  |  |  | quest | to be number one, |  |  |  |  |  |  | 
86 | 01:04:09:13 |  |  | IMAGES | - JACK POSES WITH |  |  |  |  |  |  | 
 |  |  |  | MADELEINE |  |  |  |  |  |  |  | 
87 | 01:04:11:02 |  |  | IMAGES | - JACK WITH | 67 | 01:04:11:21 |  | 01:04:14:11 |  | 02:14 | they are considered one
 |  |  |  | MADELEINE |  |  |  |  |  |  |  | of showbiz's happiest
 |  |  |  | they | are considered one | 68 | 01:04:14:13 |  | 01:04:16:15 |  | 02:02 | and most enduring couples.
 |  |  |  | of showbiz's | happiest |  |  |  |  |  |  | 
 |  |  |  | and most | enduring couples. |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | pg. 7
88 | 01:04:16:16 |  |  | MWS | - MADELEINE PLAYS THE | 69 | 01:04:16:17 |  | 01:04:19:22 |  | 03:05 | Madeleine is his muse
 |  |  |  | PIANO. | JACK KISSES HER |  |  |  |  |  |  | and his confidante,
 |  |  |  | Madeleine | is his muse | 70 | 01:04:20:00 |  | 01:04:22:12 |  | 02:12 | but she is not his only
 |  |  |  | and his | confidante, |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | source of support.
 |  |  |  | but she | is not his only |  |  |  |  |  |  | 
